symbol,name,open,high,low,close,volume,strike,category,exchange_id
PETRF144,"PETROBRAS PN, R$ 12.52, 20-06-2025",0.0,0.0,0.0,24.15,0,12.52,CALL,BOVESPA
PETRR144,"PETROBRAS PN, R$ 12.52, 20-06-2025",0.0,0.0,0.0,0.04,0,12.52,PUT,BOVESPA
PETRF149,"PETROBRAS PN, R$ 13.02, 20-06-2025",0.0,0.0,0.0,22.0,0,13.02,CALL,BOVESPA
PETRR149,"PETROBRAS PN, R$ 13.02, 20-06-2025",0.0,0.0,0.0,0.03,0,13.02,PUT,BOVESPA
PETRF22,"PETROBRAS PN, R$ 13.52, 20-06-2025",0.0,0.0,0.0,23.54,0,13.52,CALL,BOVESPA
PETRR22,"PETROBRAS PN, R$ 13.52, 20-06-2025",0.0,0.0,0.0,0.01,0,13.52,PUT,BOVESPA
PETRF155,"PETROBRAS PN, R$ 14.52, 20-06-2025",0.0,0.0,0.0,22.05,0,14.52,CALL,BOVESPA
PETRR155,"PETROBRAS PN, R$ 14.52, 20-06-2025",0.0,0.0,0.0,0.0,0,14.52,PUT,BOVESPA
PETRF252,"PETROBRAS PN, R$ 24.27, 20-06-2025",0.0,0.0,0.0,15.05,0,24.27,CALL,BOVESPA
PETRR252,"PETROBRAS PN, R$ 24.27, 20-06-2025",0.0,0.0,0.0,0.11,0,24.27,PUT,BOVESPA
PETRF3,"PETROBRAS PN, R$ 29.02, 20-06-2025",0.0,0.0,0.0,11.0,0,29.02,CALL,BOVESPA
PETRR3,"PETROBRAS PN, R$ 29.02, 20-06-2025",0.0,0.0,0.0,0.4,0,29.02,PUT,BOVESPA
PETRF32,"PETROBRAS PN, R$ 31.02, 20-06-2025",0.0,0.0,0.0,8.0,0,31.02,CALL,BOVESPA
PETRR32,"PETROBRAS PN, R$ 31.02, 20-06-2025",0.0,0.0,0.0,0.58,0,31.02,PUT,BOVESPA
PETRF34,"PETROBRAS PN, R$ 33.02, 20-06-2025",0.0,0.0,0.0,6.57,0,33.02,CALL,BOVESPA
PETRR34,"PETROBRAS PN, R$ 33.02, 20-06-2025",0.0,0.0,0.0,1.05,0,33.02,PUT,BOVESPA
PETRF418,"PETROBRAS PN, R$ 40.02, 20-06-2025",0.0,0.0,0.0,2.04,0,40.02,CALL,BOVESPA
PETRR418,"PETROBRAS PN, R$ 40.02, 20-06-2025",0.0,0.0,0.0,3.14,0,40.02,PUT,BOVESPA
PETRF420,"PETROBRAS PN, R$ 41.02, 20-06-2025",0.0,0.0,0.0,2.53,0,41.02,CALL,BOVESPA
PETRR420,"PETROBRAS PN, R$ 41.02, 20-06-2025",0.0,0.0,0.0,4.16,0,41.02,PUT,BOVESPA
PETRF424,"PETROBRAS PN, R$ 42.52, 20-06-2025",1.5,1.52,1.5,1.52,15000,42.52,CALL,BOVESPA
PETRR424,"PETROBRAS PN, R$ 42.52, 20-06-2025",0.0,0.0,0.0,3.3,0,42.52,PUT,BOVESPA
PETRF439,"PETROBRAS PN, R$ 43.02, 20-06-2025",1.27,1.27,1.27,1.27,1000,43.02,CALL,BOVESPA
